연번,공공데이터 서비스명,"서비스
유형",요청인자,,출력항목,
3,LMO 수입 승인 현황,OPEN API,,,CONFM_DT,승인일자
3,LMO 수입 승인 현황,OPEN API,,,LMO_CONFM_NO,유전자 변형 생물체 승인번호
4,개별기준규격,OPEN API,keyid,인증키,SPEC_VAL,기준규격
4,개별기준규격,OPEN API,serviceId,서비스명,PIAM_KOR_NM,단서조항명
4,개별기준규격,OPEN API,dataType,요청파일 타입,ATTRB_SEQ,단서조항일련번호
4,개별기준규격,OPEN API,startidx,요청시작위치,FNPRT_ITM_NM,세부항목명
4,개별기준규격,OPEN API,endIdx,요청종료위치,TESTITM_NM,시험항목명
4,개별기준규격,OPEN API,LAST_UPDT_DTM,최종수정일(YYYYMMDD),LAST_UPDT_DTM,최종수정일시
4,개별기준규격,OPEN API,PRDLST_CD,품목유형코드,TESTITM_CD,시험항목코드
4,개별기준규격,OPEN API,,,UPDT_PRVNS,수정사유
4,개별기준규격,OPEN API,,,UNIT_NM,단위명
4,개별기준규격,OPEN API,,,UNIT_CD,단위코드
4,개별기준규격,OPEN API,,,NTR_PRSEC_ITM_YN,자품검사시험항목여부
4,개별기준규격,OPEN API,,,RVLV_ELSE_TESTITM_YN,공전외시험항목여부
4,개별기준규격,OPEN API,,,MONTRNG_TESTITM_YN,감시시험항목여부
4,개별기준규격,OPEN API,,,EMPHS_PRSEC_TESTITM_YN,중점검사시험항목여부
4,개별기준규격,OPEN API,,,INJRY_YN,위해여부
4,개별기준규격,OPEN API,,,FNPRT_ITM_INCLS_YN,세부항목포함여부
4,개별기준규격,OPEN API,,,MCRRGNSM_3M,미생물3M
4,개별기준규격,OPEN API,,,PRDLST_CD_NM,품목명
4,개별기준규격,OPEN API,,,MCRRGNSM_2M,미생물2M
4,개별기준규격,OPEN API,,,MCRRGNSM_2C,미생물2C
4,개별기준규격,OPEN API,,,MCRRGNSM_2N,미생물2N
4,개별기준규격,OPEN API,,,A082_CI_FNPRT_CD_NM,선택형부적합명
4,개별기준규격,OPEN API,,,CHOIC_IMPROPT,선택형부적합코드
4,개별기준규격,OPEN API,,,A082_CF_FNPRT_CD_NM,선택형적합명
4,개별기준규격,OPEN API,,,CHOIC_FIT,선택형적합코드
4,개별기준규격,OPEN API,,,A080_FNPRT_CD_NM,최소값구분명
4,개별기준규격,OPEN API,,,MIMM_VAL_DVS_CD,최소값구분코드
4,개별기준규격,OPEN API,,,MIMM_VAL,최소값
4,개별기준규격,OPEN API,,,PRDLST_CD,품목분류코드
4,개별기준규격,OPEN API,,,A081_FNPRT_CD_NM,최대값구분명
4,개별기준규격,OPEN API,,,MXMM_VAL_DVS_CD,최대값구분코드
4,개별기준규격,OPEN API,,,MXMM_VAL,최대값
4,개별기준규격,OPEN API,,,A079_FNPRT_CD_NM,판정형식명
4,개별기준규격,OPEN API,,,JDGMNT_FOM_CD,판정형식코드
4,개별기준규격,OPEN API,,,VALD_MANLI,유효자리
4,개별기준규격,OPEN API,,,SORC,출처
4,개별기준규격,OPEN API,,,VALD_END_DT,유효종료일
4,개별기준규격,OPEN API,,,VALD_BEGN_DT,유효개시일
4,개별기준규격,OPEN API,,,SPEC_VAL_SUMUP,기준규격요약
4,개별기준규격,OPEN API,,,INDV_SPEC_SEQ,개별기준규격일련번호
5,건강기능식품 개별인정형 정보,OPEN API,keyid,인증키,IFTKN_ATNT_MATR_CN,섭취시 주의 사항 내용
5,건강기능식품 개별인정형 정보,OPEN API,serviceId,서비스명,RAWMTRL_NM,원재료 명
5,건강기능식품 개별인정형 정보,OPEN API,dataType,요청파일 타입,WT_UNIT,중량 단위
5,건강기능식품 개별인정형 정보,OPEN API,startidx,요청시작위치,DAY_INTK_LOWLIMIT,1일 섭취량 하한선
5,건강기능식품 개별인정형 정보,OPEN API,endIdx,요청종료위치,DAY_INTK_HIGHLIMIT,1일 섭취량 상한선
5,건강기능식품 개별인정형 정보,OPEN API,,,PRIMARY_FNCLTY,주된 기능성
5,건강기능식품 개별인정형 정보,OPEN API,,,HF_FNCLTY_MTRAL_RCOGN_NO,원료인정번호
6,건강기능식품 기능성 원료인정현황,OPEN API,keyid,인증키,IFTKN_ATNT_MATR_CN,섭취시 주의사항
6,건강기능식품 기능성 원료인정현황,OPEN API,serviceId,서비스명,DAY_INTK_CN,1일 섭취량
6,건강기능식품 기능성 원료인정현황,OPEN API,dataType,요청파일 타입,FNCLTY_CN,기능성 내용
6,건강기능식품 기능성 원료인정현황,OPEN API,startidx,요청시작위치,APLC_RAWMTRL_NM,신청원료명
6,건강기능식품 기능성 원료인정현황,OPEN API,endIdx,요청종료위치,ADDR,주소
6,건강기능식품 기능성 원료인정현황,OPEN API,PRMS_DT,인정일자,INDUTY_NM,업종
6,건강기능식품 기능성 원료인정현황,OPEN API,APLC_RAWMTRL_NM,신청원료명,BSSH_NM,업체명
6,건강기능식품 기능성 원료인정현황,OPEN API,HF_FNCLTY_MTRAL_RCOGN_NO,인정번호,PRMS_DT,인정일자
6,건강기능식품 기능성 원료인정현황,OPEN API,,,HF_FNCLTY_MTRAL_RCOGN_NO,인정번호
7,건강기능식품 생산실적 보고 품목 현황,OPEN API,keyid,인증키,PRDCTN_QY,생산량(KG)
7,건강기능식품 생산실적 보고 품목 현황,OPEN API,serviceId,서비스명,FYER_PRDCTN_ABRT_QY,연간생산능력(KG)
7,건강기능식품 생산실적 보고 품목 현황,OPEN API,dataType,요청파일 타입,PRDLST_REPORT_NO,품목제조보고번호
7,건강기능식품 생산실적 보고 품목 현황,OPEN API,startidx,요청시작위치,EVL_YR,보고년도
7,건강기능식품 생산실적 보고 품목 현황,OPEN API,endIdx,요청종료위치,LCNS_NO,인허가번호
7,건강기능식품 생산실적 보고 품목 현황,OPEN API,EVL_YR,생산실적보고년도(YYYY)(필수),H_ITEM_NM,품목유형
7,건강기능식품 생산실적 보고 품목 현황,OPEN API,LCNS_NO,인허가번호,GUBUN,품목구분
7,건강기능식품 생산실적 보고 품목 현황,OPEN API,PRDLST_CD_NM,품목유형명,PRDLST_NM,품목명
7,건강기능식품 생산실적 보고 품목 현황,OPEN API,,,BSSH_NM,업소명
8,건강기능식품 영양DB,OPEN API,keyid,인증키,SCLAS_NM,소분류 명
8,건강기능식품 영양DB,OPEN API,serviceId,서비스명,SCLAS_CD,소분류 코드
8,건강기능식품 영양DB,OPEN API,dataType,요청파일 타입,MLSFC_NM,중분류 명
8,건강기능식품 영양DB,OPEN API,startidx,요청시작위치,MLSFC_CD,중분류 코드
8,건강기능식품 영양DB,OPEN API,endIdx,요청종료위치,LCLAS_NM,대분류 명
8,건강기능식품 영양DB,OPEN API,HELT_ITM_GRP_NM,명칭,LCLAS_CD,대분류 코드
8,건강기능식품 영양DB,OPEN API,,,HELT_ITM_GRP_NM,건강 항목 그룹 명
8,건강기능식품 영양DB,OPEN API,,,HELT_ITM_GRP_CD,건강 항목 그룹 코드
9,건강기능식품 이상사례 신고 현황 정보,OPEN API,keyid,인증키,,
9,건강기능식품 이상사례 신고 현황 정보,OPEN API,serviceId,서비스명,,
9,건강기능식품 이상사례 신고 현황 정보,OPEN API,dataType,요청파일 타입,,
9,건강기능식품 이상사례 신고 현황 정보,OPEN API,startidx,요청시작위치,,
9,건강기능식품 이상사례 신고 현황 정보,OPEN API,endIdx,요청종료위치,,
10,건강기능식품 전문.벤처제조업인허가 현황,OPEN API,keyid,인증키,LOCP_ADDR,주소
10,건강기능식품 전문.벤처제조업인허가 현황,OPEN API,serviceId,서비스명,TELNO,전화번호
10,건강기능식품 전문.벤처제조업인허가 현황,OPEN API,dataType,요청파일 타입,PRMS_DT,허가일자
10,건강기능식품 전문.벤처제조업인허가 현황,OPEN API,startidx,요청시작위치,INDUTY_NM,업종
10,건강기능식품 전문.벤처제조업인허가 현황,OPEN API,endIdx,요청종료위치,PRSDNT_NM,대표자
10,건강기능식품 전문.벤처제조업인허가 현황,OPEN API,CHNG_DT,변경일자,BSSH_NM,업소명
10,건강기능식품 전문.벤처제조업인허가 현황,OPEN API,LCNS_NO,인허가번호,LCNS_NO,인허가 번호
11,건강기능식품 폐업정보,OPEN API,keyid,인증키,INSTT_NM,기관명
11,건강기능식품 폐업정보,OPEN API,serviceId,서비스명,LOCP_ADDR,주소
11,건강기능식품 폐업정보,OPEN API,dataType,요청파일 타입,CLSBIZ_DVS_CD_NM,페업상태
11,건강기능식품 폐업정보,OPEN API,startidx,요청시작위치,CLSBIZ_DT,폐업일자
11,건강기능식품 폐업정보,OPEN API,endIdx,요청종료위치,PRMS_DT,허가일자
11,건강기능식품 폐업정보,OPEN API,CHNG_DT,변경일자,INDUTY_NM,업종
11,건강기능식품 폐업정보,OPEN API,LCNS_NO,인허가번호,PRSDNT_NM,대표자명
11,건강기능식품 폐업정보,OPEN API,CLSBIZ_DT,폐업일자,BSSH_NM,업소명
11,건강기능식품 폐업정보,OPEN API,,,LCNS_NO,인허가번호
12,건강기능식품 표시기준,OPEN API,keyid,인증키,,
12,건강기능식품 표시기준,OPEN API,serviceId,서비스명,,
12,건강기능식품 표시기준,OPEN API,dataType,요청파일 타입,,
12,건강기능식품 표시기준,OPEN API,startidx,요청시작위치,,
12,건강기능식품 표시기준,OPEN API,endIdx,요청종료위치,,
13,건강기능식품 품목분류정보,OPEN API,keyid,인증키,CRET_DTM,최초등록일
13,건강기능식품 품목분류정보,OPEN API,serviceId,서비스명,SKLL_IX_IRDNT_RAWMTRL,성분명
13,건강기능식품 품목분류정보,OPEN API,dataType,요청파일 타입,INTK_MEMO,REMARK
13,건강기능식품 품목분류정보,OPEN API,startidx,요청시작위치,INTK_UNIT,단위
13,건강기능식품 품목분류정보,OPEN API,endIdx,요청종료위치,DAY_INTK_HIGHLIMIT,일일섭취량 상한
13,건강기능식품 품목분류정보,OPEN API,,,DAY_INTK_LOWLIMIT,일일섭취량 하한
13,건강기능식품 품목분류정보,OPEN API,,,PRIMARY_FNCLTY,주된기능성
13,건강기능식품 품목분류정보,OPEN API,,,IFTKN_ATNT_MATR_CN,섭취시주의사항
13,건강기능식품 품목분류정보,OPEN API,,,LAST_UPDT_DTM,최종수정일
13,건강기능식품 품목분류정보,OPEN API,,,PRDCT_NM,품목명
14,건강기능식품 품목제조 신고사항 현황,OPEN API,keyid,인증키,PRIMARY_FNCLTY,주된기능성
14,건강기능식품 품목제조 신고사항 현황,OPEN API,serviceId,서비스명,NTK_MTHD,섭취방법
14,건강기능식품 품목제조 신고사항 현황,OPEN API,dataType,요청파일 타입,DISPOS,제품형태
14,건강기능식품 품목제조 신고사항 현황,OPEN API,startidx,요청시작위치,POG_DAYCNT,소비기한_일수
14,건강기능식품 품목제조 신고사항 현황,OPEN API,endIdx,요청종료위치,PRMS_DT,허가_일자
14,건강기능식품 품목제조 신고사항 현황,OPEN API,CHNG_DT,변경일자(YYYYMMDD),PRDLST_NM,품목_명
14,건강기능식품 품목제조 신고사항 현황,OPEN API,BSSH_NM,업소명,PRDLST_REPORT_NO,품목제조번호
14,건강기능식품 품목제조 신고사항 현황,OPEN API,PRDLST_NM,품목명,FRMLC_MTRQLT,포장재질
14,건강기능식품 품목제조 신고사항 현황,OPEN API,PRDLST_REPORT_NO,품목제조번호,FRMLC_MTHD,포장방법
14,건강기능식품 품목제조 신고사항 현황,OPEN API,,,CAP_RAWMTRL_NM,캡슐 원재료
14,건강기능식품 품목제조 신고사항 현황,OPEN API,,,ETC_RAWMTRL_NM,기타 원재료
14,건강기능식품 품목제조 신고사항 현황,OPEN API,,,INDIV_RAWMTRL_NM,기능성 원재료
14,건강기능식품 품목제조 신고사항 현황,OPEN API,,,LAST_UPDT_DTM,최종수정일자
14,건강기능식품 품목제조 신고사항 현황,OPEN API,,,INDUTY_CD_NM,업종
14,건강기능식품 품목제조 신고사항 현황,OPEN API,,,BSSH_NM,업소_명
14,건강기능식품 품목제조 신고사항 현황,OPEN API,,,RAWMTRL_NM,품목유형(기능지표성분)
14,건강기능식품 품목제조 신고사항 현황,OPEN API,,,FRMLC_MTRQLT,포장재질
14,건강기능식품 품목제조 신고사항 현황,OPEN API,,,PRDT_SHAP_CD_NM,제품_형태_코드_명
14,건강기능식품 품목제조 신고사항 현황,OPEN API,,,CHILD_CRTFC_YN,어린이기호식품품질인증여부
14,건강기능식품 품목제조 신고사항 현황,OPEN API,,,PRODUCTION,생산종료여부
14,건강기능식품 품목제조 신고사항 현황,OPEN API,,,HIENG_LNTRT_DVS_NM,고열량저영양여부
14,건강기능식품 품목제조 신고사항 현황,OPEN API,,,STDR_STND,기준규격
14,건강기능식품 품목제조 신고사항 현황,OPEN API,,,PRDLST_CDNM,유형
14,건강기능식품 품목제조 신고사항 현황,OPEN API,,,CSTDY_MTHD,보관방법
14,건강기능식품 품목제조 신고사항 현황,OPEN API,,,IFTKN_ATNT_MATR_CN,섭취시주의사항
14,건강기능식품 품목제조 신고사항 현황,OPEN API,,,LCNS_NO,인허가번호
15,건강기능식품 품목제조신고(원재료),OPEN API,keyid,인증키,PRIMARY_FNCLTY,주된기능성
15,건강기능식품 품목제조신고(원재료),OPEN API,serviceId,서비스명,NTK_MTHD,섭취방법
15,건강기능식품 품목제조신고(원재료),OPEN API,dataType,요청파일 타입,DISPOS,성상
15,건강기능식품 품목제조신고(원재료),OPEN API,startidx,요청시작위치,POG_DAYCNT,소비기한
15,건강기능식품 품목제조신고(원재료),OPEN API,endIdx,요청종료위치,PRMS_DT,보고일자
15,건강기능식품 품목제조신고(원재료),OPEN API,CHNG_DT,변경일자(YYYYMMDD),PRDLST_NM,품목명
15,건강기능식품 품목제조신고(원재료),OPEN API,PRDLST_REPORT_NO,품목제조번호,PRDLST_REPORT_NO,품목제조번호
15,건강기능식품 품목제조신고(원재료),OPEN API,PRMS_DT,보고일자(YYYYMMDD),BSSH_NM,업소명
15,건강기능식품 품목제조신고(원재료),OPEN API,PRDLST_NM,품목명,PRDT_SHAP_CD_NM,제품형태
15,건강기능식품 품목제조신고(원재료),OPEN API,BSSH_NM,업소명,LAST_UPDT_DTM,최종수정일시
15,건강기능식품 품목제조신고(원재료),OPEN API,LCNS_NO,인허가번호,CRET_DTM,최초생성일시
15,건강기능식품 품목제조신고(원재료),OPEN API,,,RAWMTRL_NM,원재료
15,건강기능식품 품목제조신고(원재료),OPEN API,,,STDR_STND,기준규격
15,건강기능식품 품목제조신고(원재료),OPEN API,,,SHAP,형태
15,건강기능식품 품목제조신고(원재료),OPEN API,,,CSTDY_MTHD,보관방법
15,건강기능식품 품목제조신고(원재료),OPEN API,,,IFTKN_ATNT_MATR_CN,섭취시주의사항
15,건강기능식품 품목제조신고(원재료),OPEN API,,,LCNS_NO,인허가번호
16,건강기능식품GMP 지정 현황,OPEN API,keyid,인증키,PRSDNT_NM,대표자명
16,건강기능식품GMP 지정 현황,OPEN API,serviceId,서비스명,INDUTY_CD_NM,업종명
16,건강기능식품GMP 지정 현황,OPEN API,dataType,요청파일 타입,APPN_CANCL_DT,GMP취소일자
16,건강기능식품GMP 지정 현황,OPEN API,startidx,요청시작위치,LCNS_NO,업고고유번호
16,건강기능식품GMP 지정 현황,OPEN API,endIdx,요청종료위치,BSSH_NM,업소명
16,건강기능식품GMP 지정 현황,OPEN API,,,APPN_DT,지정일자
16,건강기능식품GMP 지정 현황,OPEN API,,,GMP_APPN_NO,GMP지정번호
17,건강기능식품공전,OPEN API,keyid,인증키,VALD_END_DT,유효종료일자
17,건강기능식품공전,OPEN API,serviceId,서비스명,VALD_BEGN_DT,유효개시일자
17,건강기능식품공전,OPEN API,dataType,요청파일 타입,SPEC_VAL_SUMUP,기준규격값 요약
17,건강기능식품공전,OPEN API,startidx,요청시작위치,SPEC_VAL,기준규격값
17,건강기능식품공전,OPEN API,endIdx,요청종료위치,FNPRT_ITM_NM,세부항목명
17,건강기능식품공전,OPEN API,LAST_UPDT_DTM,최종수정일(YYYYMMDD),T_KOR_NM,시험항목 한글명
17,건강기능식품공전,OPEN API,PRDLST_CD,품목유형코드,TESTITM_CD,시험항목코드
17,건강기능식품공전,OPEN API,,,PC_KOR_NM,품목한글명
17,건강기능식품공전,OPEN API,,,UNIT_NM,단위명
17,건강기능식품공전,OPEN API,,,INJRY_YN,위해여부
17,건강기능식품공전,OPEN API,,,MIMM_VAL,최소값
17,건강기능식품공전,OPEN API,,,MXMM_VAL,최대값
17,건강기능식품공전,OPEN API,,,SORC,출처
17,건강기능식품공전,OPEN API,,,PRDLST_CD,품목코드
18,건강기능식품업소 인허가 변경 정보,OPEN API,keyid,인증키,CHNG_PRVNS,변경사유
18,건강기능식품업소 인허가 변경 정보,OPEN API,serviceId,서비스명,CHNG_AF_CN,변경후내용
18,건강기능식품업소 인허가 변경 정보,OPEN API,dataType,요청파일 타입,CHNG_BF_CN,변경전내용
18,건강기능식품업소 인허가 변경 정보,OPEN API,startidx,요청시작위치,CHNG_DT,변경일자
18,건강기능식품업소 인허가 변경 정보,OPEN API,endIdx,요청종료위치,SITE_ADDR,주소
18,건강기능식품업소 인허가 변경 정보,OPEN API,LCNS_NO,인허가번호,TELNO,전화번호
18,건강기능식품업소 인허가 변경 정보,OPEN API,BSSH_NM,업소명,LCNS_NO,인허가번호
18,건강기능식품업소 인허가 변경 정보,OPEN API,,,INDUTY_CD_NM,업종명
18,건강기능식품업소 인허가 변경 정보,OPEN API,,,BSSH_NM,업소명
19,"건강기능식품제조업, 건강기능식품판매업 지도단속계획 및 실적현황",OPEN API,keyid,인증키,PLAN_TITL,계획명
19,"건강기능식품제조업, 건강기능식품판매업 지도단속계획 및 실적현황",OPEN API,serviceId,서비스명,GIDCHCK_RSLTCD,점검결과
19,"건강기능식품제조업, 건강기능식품판매업 지도단속계획 및 실적현황",OPEN API,dataType,요청파일 타입,BLDINSCTR_NAME,피점검자성명
19,"건강기능식품제조업, 건강기능식품판매업 지도단속계획 및 실적현황",OPEN API,startidx,요청시작위치,GIDCHCK_DT,지도점검일자
19,"건강기능식품제조업, 건강기능식품판매업 지도단속계획 및 실적현황",OPEN API,endIdx,요청종료위치,BSSH_NM,업소명
19,"건강기능식품제조업, 건강기능식품판매업 지도단속계획 및 실적현황",OPEN API,SEARCHSTDT,지도점검일자시작범위(YYYYMMDD),EXC_INSTTCD,점검기관
19,"건강기능식품제조업, 건강기능식품판매업 지도단속계획 및 실적현황",OPEN API,SEARCHENDDT,지도점검일자종료범위(YYYYMMDD),CHCK_ENDDT,계획종료일자
19,"건강기능식품제조업, 건강기능식품판매업 지도단속계획 및 실적현황",OPEN API,,,CHCK_BGNDT,계획시작일자
19,"건강기능식품제조업, 건강기능식품판매업 지도단속계획 및 실적현황",OPEN API,,,PLAN_CLCD,계획분류
20,건강기능식품판매업,OPEN API,keyid,인증키,TELNO,전화번호
20,건강기능식품판매업,OPEN API,serviceId,서비스명,PRMS_DT,허가일자
20,건강기능식품판매업,OPEN API,dataType,요청파일 타입,INDUTY_NM,업종
20,건강기능식품판매업,OPEN API,startidx,요청시작위치,PRSDNT_NM,대표자명
20,건강기능식품판매업,OPEN API,endIdx,요청종료위치,BSSH_NM,업소명
20,건강기능식품판매업,OPEN API,CHNG_DT,변경일자,INSTT_NM,기관명
20,건강기능식품판매업,OPEN API,LCNS_NO,인허가번호,LOCP_ADDR,주소
20,건강기능식품판매업,OPEN API,,,LCNS_NO,인허가 번호
21,검사부적합 현황(농산물),OPEN API,keyid,인증키,FRMLCUNIT,포장단위
21,검사부적합 현황(농산물),OPEN API,serviceId,서비스명,BRCDNO,바코드번호
21,검사부적합 현황(농산물),OPEN API,dataType,요청파일 타입,REGSTR_TELNO,전화번호
21,검사부적합 현황(농산물),OPEN API,startidx,요청시작위치,INSTT_NM,검사기관
21,검사부적합 현황(농산물),OPEN API,endIdx,요청종료위치,ADDR,영업자주소
21,검사부적합 현황(농산물),OPEN API,PRDTNM,제품명,DISTBTMLMT,유통/소비기한
21,검사부적합 현황(농산물),OPEN API,,,MNFDT,제조일자
21,검사부적합 현황(농산물),OPEN API,,,BSSHNM,업소명
21,검사부적합 현황(농산물),OPEN API,,,REPORTR_TELNO,보고자전화번호
21,검사부적합 현황(농산물),OPEN API,,,LCNS_NO,업체인허가번호
21,검사부적합 현황(농산물),OPEN API,,,RTRVLDSUSE_SEQ,회수폐기일련번호
21,검사부적합 현황(농산물),OPEN API,,,CRET_DTM,등록일
21,검사부적합 현황(농산물),OPEN API,,,TESTANALS_RSLT,검사결과
21,검사부적합 현황(농산물),OPEN API,,,STDR_STND,기준규격
21,검사부적합 현황(농산물),OPEN API,,,TEST_ITMNM,부적합항목
21,검사부적합 현황(농산물),OPEN API,,,PRDTNM,제품명
22,검사부적합(국내),OPEN API,keyid,인증키,FRMLCUNIT,포장단위
22,검사부적합(국내),OPEN API,serviceId,서비스명,BRCDNO,바코드번호
22,검사부적합(국내),OPEN API,dataType,요청파일 타입,REGSTR_TELNO,전화번호
22,검사부적합(국내),OPEN API,startidx,요청시작위치,INSTT_NM,검사기관
22,검사부적합(국내),OPEN API,endIdx,요청종료위치,ADDR,영업자주소
22,검사부적합(국내),OPEN API,PRDTNM,제품명,DISTBTMLMT,유통/소비기한
22,검사부적합(국내),OPEN API,PRDLST_REPORT_NO,품목제조보고번호,MNFDT,제조일자
22,검사부적합(국내),OPEN API,,,BSSHNM,업소명
22,검사부적합(국내),OPEN API,,,PRDLST_CD_NM,식품유형
22,검사부적합(국내),OPEN API,,,REPORTR_TELNO,보고자전화번호
22,검사부적합(국내),OPEN API,,,LCNS_NO,업체인허가번호
22,검사부적합(국내),OPEN API,,,PRDLST_REPORT_NO,품목제조보고번호
22,검사부적합(국내),OPEN API,,,RTRVLDSUSE_SEQ,회수폐기일련번호
22,검사부적합(국내),OPEN API,,,CRET_DTM,등록일
22,검사부적합(국내),OPEN API,,,TESTANALS_RSLT,검사결과
22,검사부적합(국내),OPEN API,,,STDR_STND,기준규격
22,검사부적합(국내),OPEN API,,,TEST_ITMNM,부적합항목
22,검사부적합(국내),OPEN API,,,PRDTNM,제품명
23,공유주방운영업 인허가 대장,OPEN API,keyid,인증키,INSTT_NM,기관명
23,공유주방운영업 인허가 대장,OPEN API,serviceId,서비스명,TELNO,전화번호
23,공유주방운영업 인허가 대장,OPEN API,dataType,요청파일 타입,LOCP_ADDR,주소
23,공유주방운영업 인허가 대장,OPEN API,startidx,요청시작위치,PRMS_DT,허가일자
23,공유주방운영업 인허가 대장,OPEN API,endIdx,요청종료위치,INDUTY_NM,업종
23,공유주방운영업 인허가 대장,OPEN API,LCNS_NO,인허가번호,PRSDNT_NM,대표자명
23,공유주방운영업 인허가 대장,OPEN API,BSSH_NM,업소명,BSSH_NM,업소명
23,공유주방운영업 인허가 대장,OPEN API,CHNG_DT, 변경일자(YYYYMMDD),LCNS_NO,인허가번호
24,공통기준규격,OPEN API,keyid,인증키,ATTRB_SEQ,단서조항일련번호
24,공통기준규격,OPEN API,serviceId,서비스명,FNPRT_ITM_NM,세부항목명
24,공통기준규격,OPEN API,dataType,요청파일 타입,TESTITM_NM,시험항목명
24,공통기준규격,OPEN API,startidx,요청시작위치,TESTITM_CD,시험항목코드
24,공통기준규격,OPEN API,endIdx,요청종료위치,PRDLST_CD_NM,품목명
24,공통기준규격,OPEN API,LAST_UPDT_DTM,최종수정일(YYYYMMDD),LAST_UPDT_DTM,최종수정일시
24,공통기준규격,OPEN API,PRDLST_CD,품목유형코드,UPDT_PRVNS,수정사유
24,공통기준규격,OPEN API,,,UNIT_NM,단위명
24,공통기준규격,OPEN API,,,PRDLST_CD,품목분류코드
24,공통기준규격,OPEN API,,,UNIT_CD,단위코드
24,공통기준규격,OPEN API,,,NTR_PRSEC_ITM_YN,자품검사시험항목여부
24,공통기준규격,OPEN API,,,RVLV_ELSE_TESTITM_YN,공전외시험항목여부
24,공통기준규격,OPEN API,,,MONTRNG_TESTITM_YN,감시시험항목여부
24,공통기준규격,OPEN API,,,EMPHS_PRSEC_TESTITM_YN,중점검사시험항목여부
24,공통기준규격,OPEN API,,,INJRY_YN,위해여부
24,공통기준규격,OPEN API,,,FNPRT_ITM_INCLS_YN,세부항목포함여부
24,공통기준규격,OPEN API,,,MCRRGNSM_3M,미생물3M
24,공통기준규격,OPEN API,,,MCRRGNSM_2M,미생물2M
24,공통기준규격,OPEN API,,,MCRRGNSM_2C,미생물2C
24,공통기준규격,OPEN API,,,SPEC_NM,공통기준종류명
24,공통기준규격,OPEN API,,,MCRRGNSM_2N,미생물2N
24,공통기준규격,OPEN API,,,A082_CI_FNPRT_CD_NM,선택형부적합명
24,공통기준규격,OPEN API,,,CHOIC_IMPROPT,선택형부적합코드
24,공통기준규격,OPEN API,,,A082_CF_FNPRT_CD_NM,선택형적합명
24,공통기준규격,OPEN API,,,CHOIC_FIT,선택형적합코드
24,공통기준규격,OPEN API,,,A080_FNPRT_CD_NM,최소값구분명
24,공통기준규격,OPEN API,,,MIMM_VAL_DVS_CD,최소값구분코드
24,공통기준규격,OPEN API,,,MIMM_VAL,최소값
24,공통기준규격,OPEN API,,,A081_FNPRT_CD_NM,최대값구분명
24,공통기준규격,OPEN API,,,MXMM_VAL_DVS_CD,최대값구분코드
24,공통기준규격,OPEN API,,,CMMN_SPEC_CD,공통기준종류코드
24,공통기준규격,OPEN API,,,MXMM_VAL,최대값
